Type,Athlete,Cat,Event,Date,Award,Year,Type
men,Andrew Gage,MV55,Glos 1500m Championships,May-17,Gold,2017,Track
men,Andrew Gage,MV55,Glos 800m Championships,May-17,Gold,2017,Track
men,James Oram,MV40,Glos 400m Championships,May-17,Silver,2017,Track
men,Paul Lockyer,MV40,Glos 400m Championships,May-17,Gold,2017,Track
men,Martin Bick,MV50,Glos 800m Championships,May-17,Gold,2017,Track
men,Martin Bick,MV50,Glos 100m Championships,May-17,Gold,2017,Track
men,James Oram,MV40,Glos County 1500m Track Championships,May-16,Gold,2016,Track
men,Will Ferguson,SM,Glos County 1500m Track Championships,May-16,Gold,2016,Track
men,Paul Lockyer,MV40,Glos County 100m Track Championships,May-16,Silver,2016,Track
men,Paul Lockyer,MV40,Glos County 400m Track Championships,May-16,Gold,2016,Track
men,Paul Lockyer,MV40,Glos County 800m Track Championships,May-16,Gold,2016,Track
men,Jon Howes,MV40,Glos County 3000m Track Championships,May-16,Silver,2016,Track
men,David James,MV60,Glos County Road Race Series,Aug-15,Gold,2015,Road
men,JJ Willson,MV50,Glos County Road Race Series,Aug-15,Bronze,2015,Road
men,Masters Team,Masters,Glos County XC League 2014/15,Mar-15,Bronze,2015,Cross Country
men,SM A-Team,SM,Glos County XC League 2014/15,Mar-15,Bronze,2015,Cross Country
men,David James,MV65,Glos County XC Champs,Jan-15,Gold,2015,Cross Country
men,George Parker,U20,Glos County 1 Mile Track Champs,Aug-14,Bronze,2014,Track
men,Ollie Mosley,U20,Glos County 1 Mile Track Champs,Aug-14,Gold,2014,Track
men,James ORam,MV40,Glos County 10000m Track Champs,Aug-14,Bronze,2014,Track
men,Will Ferguson,SM,Glos County 10000m Track Champs,Aug-14,Gold,2014,Track
men,James Oram,MV40,Glos County 5km Road Champs,Aug-14,Silver,2014,Road
men,JJ Willson,MV50,Glos County 5km Road Champs,Aug-14,Silver,2014,Road
men,John Parker,SM,Glos County Road Race Series,Nov-11,Gold,2011,Road
men,Will Ferguson,SM,Glos County XC Champs,Feb-10,Gold,2010,Cross Country
men,John Parker,SM,Glos County Short XC Course,Mar-10,Gold,2010,Cross Country
men,Phil Jowett,MV40,Glos County Short XC Course,Mar-10,Gold,2010,Cross Country
men,"John Parker, Rich Dare & Chris Driskell",SM,Glos County Short XC Course Team,Mar-10,Gold,2010,Cross Country
men,"Phil Jowett, Chris Hale & Charles Goodwin",MV40,Glos County Short XC Course Team,Mar-10,Gold,2010,Cross Country
men,Rich Dare (2:00.0),SM,Glos County 800m Track Champs,May-10,Gold,2010,Track
men,John Parker (15:39.3),MV35,Midland 5k Champs,Jun-10,Gold,2010,Track
men,Dave Smeath (37:07.1),SM,Glos County 10000m Track Champs,Aug-10,Gold,2010,Track
men,John Parker (15:37),MV35,"BMAF Road 5km, Horwick",Jun-10,Gold,2010,Road
men,Will Ferguson (33:06),SM,Glos County 10000m Track Champs,Aug-09,Gold,2009,Track
men,Will Ferguson,SM,Glos County 5000m Track Champs,May-09,Gold,2009,Track
men,Will Ferguson,SM,Glos County XC League 2008/09,Feb-09,Gold,2009,Cross Country
men,John Parker,SM,Glos County XC League 2010/11,Feb-11,Gold,2011,Cross Country
men,Rich Dare (16:33.5),SM,Glos County 5000m Track Champs,May-12,Silver,2012,Track
men,Chris Driskell (4:41.3),SM,1500m Glos County Track & Field Champs,May-12,Silver,2012,Track
men,SM A-Team,SM,Glos County XC League 2011/12,Feb-12,Silver,2012,Cross Country
men,"Joel Freeland, Paul Edwards, Deryl Slight, & John Parker (4:07.7)",SM,Glos County 4x400m Track Champs,Aug-11,Silver,2011,Track
men,John Parker (15:11),SM,Glos County 5km Road Champs,Aug-11,Silver,2011,Road
men,John Parker,SM,Glos County Road Race Series,Dec-10,Silver,2010,Road
men,"John Parker (20th, 28:23)",MV35,"British Masters Cross Country Champs, Sentry Park , Dublin",Nov-10,Silver,2010,Cross Country
men,Ben Pedley,JM,Glos County XC Champs,Feb-10,Silver,2010,Cross Country
men,"Will Ferguson, Rich Dare, Ben Pedley, Chris Driskell, Chris Hale, Dave Billingham",SM,Glos County XC Champs,Feb-10,Silver,2010,Cross Country
men,Rich Dare,SM,Glos County Short XC Course,Mar-10,Silver,2010,Cross Country
men,Chris Hale,MV40,Glos County Short XC Course,Mar-10,Silver,2010,Cross Country
men,"Dave Smeath, James Gibbs & John Howes",SM,Glos County Short XC Course Team,Mar-10,Silver,2010,Cross Country
men,John Parker (15:22.8),SM,Glos County 5000m Track Champs,May-10,Silver,2010,Track
men,Ben Pedley (4:23.1),JM,1500m Glos County Track & Field Champs,May-10,Silver,2010,Track
men,John Parker (32:29),MV35,BMAF & Midlands Combined 10k Road Champs,Sep-10,Silver,2010,Road
men,Nathan Jones (59:59),SM,8th Pilot 10m County Road Race,Jul-09,Silver,2009,Road
men,Nick O'Neil (11.9),SM,100m Glos County Track & Field Champs,May-09,Silver,2009,Track
men,Mens Team (Promoted to Division 2),SM,Birmingham Cross Country League Division 3,Feb-12,Bronze,2012,Cross Country
men,Rich Evershed,SM,Glos County XC League 2011/12,Feb-12,Bronze,2012,Cross Country
men,"Rich Dare, Rich Evershed, Chris Driskell, Wayne Usher, Dave Smeath & Jon Gould",SM,Glos County XC Champs,Jan-12,Bronze,2012,Cross Country
men,"Chris Hale, Adam Cary, Jeremy Wilde & Charles Goodwin (4:56.6)",SM,Glos County 4x400m Track Champs,Aug-11,Bronze,2011,Track
men,Chris Driskell (37:18.7),SM,Glos County 10000m Track Champs,Aug-11,Bronze,2011,Track
men,SM A-Team,SM,Glos County XC League 2010/11,Feb-11,Bronze,2011,Cross Country
men,Will Ferguson,SM,Glos County XC Champs,Jan-11,Bronze,2011,Cross Country
men,"Nathan Jones (16:35), Phil Jowett (17:33), Chris Driskell (17:59) & Ben Pedley (17:03)",SM,Glos County 3.15m Relays,Feb-10,Bronze,2010,Road
men,Chris Hale (18:10),V40,Glos County White Horse 5k,Aug-10,Bronze,2010,Road
men,Will Ferguson (15:43),SM,Glos County White Horse 5k,Aug-09,Bronze,2009,Road
men,Wayne Usher (35:53.4),SM,Glos County 10000m Track Champs,Aug-09,Bronze,2009,Track
men,Will Ferguson (4:18.6),SM,1500m Glos County Track & Field Champs,May-09,Bronze,2009,Track
men,Richard Dare (17:25.9),SM,Glos County 5000m Track Champs,May-09,Bronze,2009,Track
men,Will Ferguson (15:39),SM,Glos County 5km Road Champs,Aug-08,Bronze,2008,Road
men,Richard Dare (206th - 41:35),SM,"Inter-Counties Cross Country, Cofton Park",Mar-12,Inter Counties XC,2012,Cross Country
men,Will Ferguson (125th),SM,"World XC Trials & Inter-Counties Cross Country, Cofton Park",Mar-11,Inter Counties XC,2011,Cross Country
men,Will Ferguson (141st 40:02),SM,"12k World XC Trials & Inter-Counties Cross Country, Cofton Park",Mar-10,Inter Counties XC,2010,Cross Country
men,Ben Pedley (123rd - 29.19),JM,"8k Junior Men World XC Trials & Inter-Counties Cross Country, Cofton Park",Mar-10,Inter Counties XC,2010,Cross Country
men,Will Ferguson (201st),SM,Inter-Counties Cross Country,Mar-09,Inter Counties XC,2009,Cross Countr
women,Rachel Vines,LV35,Glos 5000m Championships,May-17,Gold,2017,Track
women,Amelia Mullins,LV40,Glos 5000m Championships,May-17,Silver,2017,Track
women,Amanda Steer,LV45,Glos 5000m Championships,May-17,Gold,2017,Track
women,Amanda Steer,LV45,Glos County 3000m Track Championships,May-16,Gold,2016,Track
women,Karlien Heyrman,SL,Glos County 3000m Track Championships,May-16,Gold,2016,Track
women,Amanda Steer,FV45,Glos County Championships,Aug-15,Gold,2015,Track
women,Masters Team,Masters,Glos County XC League 2014/15,Mar-15,Gold,2015,Cross Country
women,Ladies B Team,SL,Glos County XC League 2014/15,Mar-15,Silver,2015,Cross Country
women,Ladies A Team,SL,Glos County XC League 2014/15,Mar-15,Gold,2015,Cross Country
women,Ladies Team (Promoted to Division One),SL,Midland Cross Country League Division 2,Feb-15,Bronze,2015,Cross Country
women,Jo Wilkie,LV35,Glos County XC Championships 2014/15,Jan-15,Gold,2015,Cross Country
women,Amanda Steer,LV45,Glos County XC Championships 2014/15,Jan-15,Silver,2015,Cross Country
women,Emma Abbey,LV40,Glos County XC Championships 2014/15,Jan-15,Silver,2015,Cross Country
women,"Masters Team (Jo Wilkie, Amanda Steer & Beckie Boulton)",Masters,Glos County XC Championships 2014/15,Jan-15,Gold,2015,Cross Country
women,"SL B Team (Karlien Heyman, Amanda Steer & Beckie Boulton)",SL,Glos County XC Championships 2014/15,Jan-15,Silver,2015,Cross Country
women,"SL A Team (Jo Wilkie, Liza Barry & Rachel Vines)",SL,Glos County XC Championships 2014/15,Jan-15,Gold,2015,Cross Country
women,Steph Parker,LV35,Glos County 1 Mile Track Champs,Aug-14,Gold,2014,Track
women,Emma Abbey,LV40,Glos County 10000m Track Champs,Aug-14,Gold,2014,Track
women,Karlien Heyman,SL,Glos County 10000m Track Champs,Aug-14,Bronze,2014,Track
women,Rachel Vines,SL,Glos County 10000m Track Champs,Aug-14,Silver,2014,Track
women,Rachel Cary,SL,Glos County 10000m Track Champs,Aug-14,Gold,2014,Track
women,Steph Parker,LV35,Glos County 5km Road Champs,Aug-14,Silver,2014,Road
women,Hilary Mott,SL,Glos County 5km Road Champs,Aug-14,Gold,2014,Road
women,SL A-Team,SL,Glos County XC League 2013/14,Feb-14,Gold,2014,Cross Country
women,Jo Wilkie,LV35,Glos County League Series 2013/14,Feb-12,Silver,2012,Cross Country
women,Amanda Steer,SL,Glos County Track Chamionships,May-13,Gold,2013,Track
women,Liza Barry,SL,Glos County XC Series,Feb-13,Bronze,2013,Cross Country
women,Amanda Steer,LV40,Glos County XC Series,Feb-13,Silver,2013,Cross Country
